0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/logo/Volkswagen-logo-2019-1500x1500.png HTTP/1.1" 200 136634
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/sounds/BMW_DRIVERY.mp3 HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019-BMW-i3.png HTTP/1.1" 200 8522687
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:01 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:55 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu;jsessionid=FFE6955FF8E7C57FE83406CDEE8133FF HTTP/1.1" 200 11876
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:27:55 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/sounds/BMW_DRIVERY.mp3 HTTP/1.1" 404 771
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:28:37 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu;jsessionid=FFE6955FF8E7C57FE83406CDEE8133FF HTTP/1.1" 200 11876
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:28:37 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/sounds/BMW_DRIVEBY.mp3 HTTP/1.1" 206 18256
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:30:35 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/web/bootstrap/js/bootstrap.bundle.min.js.map HTTP/1.1" 200 311949
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:30:35 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/web/bootstrap/css/bootstrap.min.css.map HTTP/1.1" 200 625953
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:31:31 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu;jsessionid=FFE6955FF8E7C57FE83406CDEE8133FF HTTP/1.1" 200 11885
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:31:31 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/sounds/BMW_DRIVEBY.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:13 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu;jsessionid=FFE6955FF8E7C57FE83406CDEE8133FF HTTP/1.1" 200 11883
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:13 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/sounds/BMW_DRIVEBY.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:16 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:25 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu;jsessionid=FFE6955FF8E7C57FE83406CDEE8133FF HTTP/1.1" 200 11874
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:40 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/dang-nhap?action=login HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:40 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:40 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/login/style.css HTTP/1.1" 200 1287
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:40 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:48 +0700] "POST /java_web_jsp_servlet_jdbc_mysql/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:48 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 12037
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:48 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/avatar/male_1.jpg HTTP/1.1" 200 21229
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:34:48 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:35:28 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 12046
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:35:32 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:37:53 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:37:54 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11883
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:37:54 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/sounds/BMW_DRIVEBY.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:37:54 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:37:57 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11883
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:37:59 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11883
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:09 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11875
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:15 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/dang-nhap?action=login HTTP/1.1" 200 2852
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:15 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:15 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/styles.css HTTP/1.1" 404 755
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:19 +0700] "POST /java_web_jsp_servlet_jdbc_mysql/dang-nhap HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:19 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 12038
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:19 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/group?strCategory=mini&page=1&maxPageItem=8&sortName=title&sortBy=desc HTTP/1.1" 200 13525
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019-smart-EQ-fortwo.jpg HTTP/1.1" 200 211335
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/mitsubishi-mirage-2019-cvt-banxehoi-com-1-8f33.jpg HTTP/1.1" 200 138453
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/web/css/heroic-features.css HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/paging/jquery.twbsPagination.js HTTP/1.1" 200 12351
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019_Mini_Cooper_Hardtop_4_Door_Hatchback.png HTTP/1.1" 200 292363
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019_MINI_Cooper_Hardtop_2_Door.png HTTP/1.1" 200 290073
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/images/cars/smallCars/2019%20Mazda%20MX-5%20Miata.jpg HTTP/1.1" 200 43632
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery-2.1.4.min.js HTTP/1.1" 200 84380
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/js/jquery.2.1.1.min.js HTTP/1.1" 200 84245
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:38:24 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/admin/assets/js/jquery-ui.min.js HTTP/1.1" 200 240333
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:39:34 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 12046
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:39:34 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/sounds/BMW_DRIVEBY.mp3 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:39:38 +0700] "GET /favicon.ico HTTP/1.1" 404 720
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:39:55 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/group?strCategory=mini&page=1&maxPageItem=8&sortName=title&sortBy=desc HTTP/1.1" 200 13525
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:40:20 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/item?id=50 HTTP/1.1" 200 24801
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:40:20 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/template/web/css/shop-item.css HTTP/1.1" 200 271
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:40:36 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/thoat?action=logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:40:36 +0700] "GET /java_web_jsp_servlet_jdbc_mysql/trang-chu HTTP/1.1" 200 11883
0:0:0:0:0:0:0:1 - - [12/Apr/2020:15:40:37 +0700] "GET /favicon.ico HTTP/1.1" 404 720
